"artist_name","user_first_name","item_in_session","user_last_name","song_length","session_id","song_title","user_id"
"Diam's","Tegan","18","Levine","250.72281","611","Dans Ma Bulle (Edit Radio - Live 2006)","80"
"Haley Bonar","Rylan","6","George","149.26322","575","Give It Up","16"
"Mansun","Tegan","19","Levine","140.53832","611","Love Remains (Home Demo)","80"
"3 Doors Down","Avery","20","Watkins","237.13914","324","Here Without You","30"
"The Corrs","Rylan","7","George","168.07138","575","Toss The Feathers (Instrumental) ( LP Version )","16"
"Big Tymers","Tegan","20","Levine","197.79873","611","Big","80"
"Thursday","Avery","21","Watkins","215.37914","324","I Am The Killer (Album Version)","30"
"Motion City Soundtrack","Rylan","8","George","111.49016","575","Don't Call It A Comeback (Album Version)","16"
"Usher","Tegan","21","Levine","224.10404","611","Hey Daddy (Daddy's Home)","80"
"Juanes","Rylan","10","George","233.40363","575","No Siento Penas","16"
"The Wombats","Avery","22","Watkins","164.70159","324","Kill The Director [Radio Edit]","30"
"Katy Perry","Tegan","22","Levine","179.40853","611","I Kissed A Girl","80"
"As I Lay Dying","Rylan","11","George","231.78404","575","The Darkest Nights","16"
"BjÃÂ¶rk","Avery","23","Watkins","348.57751","324","Undo","30"
"The Bobby Fuller Four","Tegan","23","Levine","138.60526","611","I Fought The Law (LP Version)","80"
"Charly GarcÃÂ­a","Rylan","12","George","330.89261","575","Influencia","16"
"New Bomb Turks","Tegan","24","Levine","60.55138","611","Too Much","80"
"The Black Keys","Tegan","25","Levine","196.91057","611","All Hands Against His Own","80"
"PeterLicht","Avery","24","Watkins","305.97179","324","Blaues Blau","30"
"John Mayer","Tegan","26","Levine","359.23546","611","Friends_ Lovers Or Nothing","80"
"Stone Temple Pilots","Rylan","13","George","255.32036","575","A Song For Sleeping (LP Version)","16"
"Bad Lieutenant","Avery","25","Watkins","266.84036","324","Head Into Tomorrow","30"
"Lily Allen","Rylan","14","George","192.49587","575","Smile Version Revisited (Mark Ronson Remix) (Explicit)","16"
"Neil Halstead","Tegan","27","Levine","294.29506","611","A Gentle Heart","80"
"Juanes","Avery","26","Watkins","222.37995","324","Un DÃÂ­a Normal","30"
"Distance","Rylan","15","George","300.87791","575","Ska","16"
"Slipknot","Avery","27","Watkins","253.98812","324","The Heretic Anthem (Album Version)","30"
"Franz Ferdinand","Tegan","28","Levine","137.56036","611","Tell Her Tonight","80"
"Jedi Mind Tricks","Rylan","16","George","232.88118","575","Suicide","16"
"Miles Davis","Tegan","29","Levine","285.20444","611","Stella By Starlight","80"
"B.o.B","Avery","28","Watkins","269.63546","324","Nothin' On You [feat. Bruno Mars] (Album Version)","30"
"The Avett Brothers","Rylan","17","George","300.85179","575","I And Love And You","16"
"Joshua Bell / Paul Coker","Tegan","30","Levine","275.93098","611","Caprice viennois op.2","80"
"Bad Brains","Avery","29","Watkins","32.31302","324","Joshua's Song (1991 Digital Remaster)","30"
"Shakira ft. Wyclef Jean","Avery","30","Watkins","215.90159","324","Hips Don't Lie","30"
"Band Of Horses","Rylan","18","George","321.14893","575","The Funeral (Album Version)","16"
"Alesana","Tegan","31","Levine","185.33832","611","Ambrosia","80"
"Samy Deluxe","Avery","31","Watkins","236.77342","324","Einfach Ich","30"
"Corona","Tegan","32","Levine","408.60689","611","Higher Messiah","80"
"The Presets","Avery","32","Watkins","267.54567","324","If I Know You","30"
"Pixies","Avery","33","Watkins","98.92526","324","In Heaven","30"
"Existone","Tegan","33","Levine","652.30322","611","Wounded Soul","80"
"John Mayer","Avery","34","Watkins","258.16771","324","Bold As Love","30"
"Zakir Hussain","Avery","35","Watkins","722.442","324","The Great ndian Desert","30"
"Jag Panzer","Tegan","34","Levine","200.38485","611","Face Of Fear","80"
"Two Door Cinema Club","Tegan","35","Levine","189.67465","611","What You Know","80"
"Little Anthony & The Imperials","Tegan","36","Levine","127.42485","611","Hurt","80"
"AndrÃÂ©s Cepeda","Avery","36","Watkins","211.80036","324","Me Lleva Tiempo","30"
"Herb Alpert And The Tijuana Brass","Tegan","37","Levine","132.80608","611","So What's New","80"
"Ozma","Avery","37","Watkins","144.53506","324","Flight Of Yuri Gagarin","30"
"Ozric Tentacles","Tegan","38","Levine","461.21751","611","Mooncalf","80"
"Evanescence","Avery","38","Watkins","263.78404","324","My Immortal (Album Version)","30"
"Weezer","Avery","39","Watkins","232.85506","324","Velouria","30"
"Flying Lotus","Jahiem","0","Miles","115.33016","369","Bad Actors","43"
"Ben Folds","Tegan","39","Levine","250.87955","611","Bitches Ain't Shit","80"
"matchbox twenty","Avery","40","Watkins","229.14567","324","Unwell (Album Version)","30"
"Deftones","Tegan","40","Levine","189.75302","611","Feiticeira (LP Version)","80"
"Silverchair","Avery","41","Watkins","319.13751","324","Without You (Album Version)","30"
"Muse","Tegan","41","Levine","258.06322","611","Map Of The Problematique","80"
"Zen CafÃÂ©","Avery","42","Watkins","259.02975","324","Kotona kaikuu","30"
"Mariah Carey / Twista","Tegan","42","Levine","194.7424","611","One And Only","80"
"Strike Anywhere","Avery","43","Watkins","120.00608","324","Gunpowder","30"
"Tri Sestry","Avery","44","Watkins","97.72363","324","Had Stupid","30"
"Don Williams","Avery","45","Watkins","191.03302","324","If Hollywood Don't Need You","30"
"The Nerves","Avery","46","Watkins","92.86485","324","Are You Famous?","30"
"Ulf Wakenius","Avery","47","Watkins","324.15302","324","Good Morning Susie Soho","30"
"The Kooks","Avery","48","Watkins","168.72444","324","She Moves In Her Own Way","30"
"New Radicals","Avery","49","Watkins","300.82567","324","You Get What You Give","30"
"Wolfmother","Avery","50","Watkins","333.7922","324","Where Eagles Have Been","30"
"The Shins","Avery","51","Watkins","225.61914","324","Spilt Needles (Album)","30"
"Nickel Creek","Avery","52","Watkins","248.58077","324","Reasons Why","30"
"Pigeon John","Avery","53","Watkins","180.00934","324","Crazy","30"
"Eels","Avery","54","Watkins","211.48689","324","Love Of The Loveless","30"
"Harmonia","Avery","55","Watkins","655.77751","324","Sehr kosmisch","30"
"Marina And The Diamonds","Avery","56","Watkins","182.59546","324","Oh No! (album version)","30"
"Eminem","Avery","57","Watkins","284.86485","324","The Real Slim Shady","30"
"Hassisen Kone","Avery","58","Watkins","162.61179","324","REIPPAINA KÃÂYMME REKKAIN ALLE","30"
"Dwight Yoakam","Avery","59","Watkins","239.3073","324","You're The One","30"
"Sunlounger","Avery","60","Watkins","594.15465","324","White Sand","30"
"Youssou N'Dour","Avery","61","Watkins","238.39302","324","Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress","30"
"The Decemberists","Avery","62","Watkins","209.08363","324","Red Right Ankle","30"
"The Ruts","Avery","63","Watkins","185.75628","324","Savage Circle","30"
"Adrian Legg","Avery","64","Watkins","122.77506","324","The One-Eyed Turk","30"
"Bedrock","Avery","66","Watkins","664.0322","324","Set In Stone","30"
"Prince & The Revolution","Kate","0","Harrell","280.00608","605","Let's Go Crazy (LP Version)","97"
"The Zombies","Kate","1","Harrell","157.33506","605","She's Coming Home","97"
"Portishead","Kate","2","Harrell","238.0273","605","Numb","97"
"Jack Johnson","Avery","67","Watkins","212.68853","324","Breakdown","30"
"Justice","Kate","3","Harrell","205.50485","605","Let There Be Lite (Album Version)","97"
"Snow Patrol","Avery","68","Watkins","223.18975","324","Set Down Your Glass","30"
"Lemon Jelly","Kate","4","Harrell","238.47138","605","Nice Weather For Ducks","97"
"The Lucksmiths","Avery","69","Watkins","153.70404","324","Tale Of Two Cities","30"
"Ben Kweller","Kate","5","Harrell","188.60363","605","Magic","97"
"Fedde le Grand Pres. Flamingo","Avery","70","Watkins","396.32934","324","Take No Shhh (Original Mix)","30"
"Rodrigo y Gabriela","Kate","6","Harrell","233.40363","605","VIKING MAN","97"
"Black Eyed Peas","Kate","7","Harrell","289.12281","605","I Gotta Feeling","97"
"Five Iron Frenzy","Avery","71","Watkins","236.09424","324","Canada","30"
"Creedence Clearwater Revival","Ava","0","Robinson","164.57098","598","Down On The Corner","50"
"Kings Of Leon","Ava","1","Robinson","186.69669","598","Camaro","50"
"Fireflight","Avery","72","Watkins","201.16853","324","Unbreakable","30"
"Steppenwolf","Kate","8","Harrell","208.14322","605","Born To Be Wild","97"
"New Found Glory","Ava","2","Robinson","222.69342","598","the king of wishful thinking","50"
"The Pussycat Dolls","Avery","73","Watkins","221.1522","324","Elevator","30"
"Eric Clapton","Kate","9","Harrell","208.48281","605","Willie And The Hand Jive","97"
"Josh Groban","Devin","1","Larson","260.70159","531","Little Drummer Boy [featuring guitarist Andy McKee] (Album Version)","60"
"The Dresden Dolls","Avery","74","Watkins","286.40608","324","Coin-Operated Boy","30"
"Pixies","Kate","10","Harrell","229.3024","605","Where Is My Mind?","97"
"Creedence Clearwater Revival","Devin","2","Larson","271.882","531","I Put A Spell On You","60"
"The Smiths","Kate","11","Harrell","123.01016","605","Girlfriend In A Coma","97"
"Danger Doom","Avery","75","Watkins","187.27138","324","No Names (Black Debbie) (Album Version)","30"
"Taylor Swift","Kate","12","Harrell","233.89995","605","Love Story","97"
"Vilma Palma e Vampiros","Avery","76","Watkins","281.99138","324","La pachanga","30"
"Busta Rhymes feat. Pharrell","Kate","13","Harrell","220.47302","605","Light Your Ass On Fire","97"
"Little People","Avery","77","Watkins","230.1122","324","Above The Clouds","30"
"Dwight Yoakam","Kate","14","Harrell","239.3073","605","You're The One","97"
"Amy Winehouse","Avery","78","Watkins","164.85832","324","He Can Only Hold Her","30"
"Ernie K-Doe","Kate","15","Harrell","160.96608","605","Te-Ta-Te-Ta-Ta (2002 Digital Remaster)","97"
"Alesana","Avery","79","Watkins","242.49424","324","Congratulations_ I Hate You","30"
"Dwight Yoakam","Kate","16","Harrell","239.3073","605","You're The One","97"
"Gazpacho","Avery","80","Watkins","253.51791","324","Premonicion","30"
"Black Lips","Kate","17","Harrell","162.76853","605","Lock and Key","97"
"Kanye West","Kate","18","Harrell","311.84934","605","Stronger","97"
"Arcade Fire","Avery","81","Watkins","136.69832","324","Neon Bible","30"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Avery","82","Watkins","277.15873","324","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","30"
"Fanfarlo","Kate","19","Harrell","270.78485","605","I'm a Pilot","97"
"Crystal Castles","Avery","83","Watkins","251.08853","324","Empathy","30"
"Zeca Baleiro","Kate","20","Harrell","452.8322","605","Brigitte Bardot","97"
"Angus & Julia Stone","Avery","86","Watkins","236.95628","324","Just A Boy","30"
"Julian Casablancas","Avery","87","Watkins","302.47138","324","4 Chords of the Apocalypse","30"
"Fat Joe","Kate","21","Harrell","241.34485","605","Safe 2 Say [The Incredible] (Album Version - Amended)","97"
"Usher Featuring Lil' Jon & Ludacris","Avery","88","Watkins","250.38322","324","Yeah!","30"
"Pat Benatar","Kate","22","Harrell","290.37669","605","Don't Walk Away","97"
"Fergie","Avery","89","Watkins","248.39791","324","Losing My Ground","30"
"Muse","Kate","23","Harrell","209.50159","605","Supermassive Black Hole (Twilight Soundtrack Version)","97"
"Two Door Cinema Club","Avery","90","Watkins","168.09751","324","Undercover Martyn","30"
"Spineshank","Kate","24","Harrell","167.26159","605","Intake (Album Version)","97"
"Whitney Houston Duet With Mariah Carey","Avery","91","Watkins","273.34485","324","When You Believe","30"
"Death Cab for Cutie","Kate","25","Harrell","488.64608","605","Transatlanticism","97"
"Noir DÃÂ©sir","Avery","92","Watkins","374.77832","324","Ces Gens LÃÂ ","30"
"Paramore","Kate","26","Harrell","243.51302","605","Emergency (Album Version)","97"
"My Chemical Romance","Avery","93","Watkins","188.05506","324","Cemetery Drive (Album Version)","30"
"Vincent Vincent And The Villains","Kate","27","Harrell","154.64444","605","On My Own","97"
"Phoenix","Avery","94","Watkins","229.79873","324","Run Run Run","30"
"Beastie Boys","Kate","28","Harrell","193.54077","605","Skills To Pay The Bills","97"
"Natasha Bedingfield","Lily","0","Burns","216.65914","554","These Words","32"
"Calle 13","Avery","95","Watkins","239.3073","324","AtrÃÂ©vete te te","30"
"Sondre Lerche","Kate","29","Harrell","215.71873","605","Modern Nature","97"
"Cecilia","Lily","1","Burns","157.77914","554","Ultimo Baile","32"
"Air","Avery","96","Watkins","258.58567","324","Mayfair Song","30"
"Five Iron Frenzy","Kate","30","Harrell","236.09424","605","Canada","97"
"Kings Of Convenience","Lily","2","Burns","245.02812","554","Riot On An Empty Street","32"
"Rhonda Vincent","Avery","97","Watkins","142.78485","324","You're In My Heart","30"
"Soulwax","Kate","31","Harrell","277.002","605","E Talking","97"
"Red","Lily","3","Burns","227.52608","554","Mystery of You","32"
"Sugababes","Avery","98","Watkins","275.93098","324","Overload","30"
"Eminem / Dr. Dre","Lily","4","Burns","309.83791","554","Say What You Say","32"
"Michael Jackson","Kate","32","Harrell","278.282","605","Scream","97"
"Dominique A","Avery","99","Watkins","153.20771","324","Le Courage Des Oiseaux","30"
"Linkin Park","Kate","33","Harrell","259.86567","605","My December","97"
"Five Iron Frenzy","Avery","100","Watkins","236.09424","324","Canada","30"
"Dear Nora","Avery","101","Watkins","59.66322","324","Give Me Some Of Yr Love","30"
"The Police","Kate","34","Harrell","290.24608","605","Message In A Bottle","97"
"Cocoon","Avery","102","Watkins","159.97342","324","Microwave","30"
"Coldplay","Celeste","0","Williams","349.93587","485","A Rush Of Blood To The Head","53"
"Peter And Gordon","Maia","0","Burke","161.14893","526","A World Without Love","51"
"Gotye","Avery","103","Watkins","360.33261","324","Coming Back","30"
"Maps","Kate","35","Harrell","255.9473","605","To The Sky","97"
"Joshua Radin","Maia","1","Burke","169.32526","526","I'd Rather Be With You","51"
"D'Angelo","Chloe","3","Cuevas","344.94649","621","When We Get By","49"
"Blockhead","Celeste","1","Williams","289.56689","485","The Music Scene","53"
"Nine Inch Nails","Ayla","0","Johnson","300.64281","588","Terrible Lie","63"
"La Roux","Maia","2","Burke","208.03873","526","Colourless Colour","51"
"Lil Wayne / Shanell","Kate","36","Harrell","216.81587","605","American Star","97"
"RÃÂ¶yksopp","Avery","104","Watkins","300.14649","324","What Else Is There?","30"
"Jack's Mannequin","Chloe","4","Cuevas","172.90404","621","Spinning (Album Version)","49"
"FM Static","Kate","37","Harrell","170.81424","605","Definitely Maybe","97"
"Joy Division","Avery","105","Watkins","209.03138","324","Disorder [2007 Re-mastered Album Version]","30"
"N.E.R.D.","Chloe","5","Cuevas","259.23873","621","Rock Star","49"
"Mickie Krause","Kate","38","Harrell","204.17261","605","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","97"
"Steadman","Avery","106","Watkins","234.1873","324","Wave Goodbye (Real/Rhapsody Version)","30"
"The Like","Kate","39","Harrell","245.68118","605","We Are Lost","97"
"Future Rock","Chloe","6","Cuevas","239.90812","621","Gears","49"
"The All-American Rejects","Harper","1","Barrett","213.08036","404","Gives You Hell","42"
"Bruce Springsteen","Avery","107","Watkins","270.54975","324","Born To Run","30"
"OneRepublic","Kate","40","Harrell","230.63465","605","Say (All I Need)","97"
"Owl City","Chloe","7","Cuevas","133.74649","621","Meteor Shower","49"
"Justin Nozuka","Harper","2","Barrett","215.64036","404","I'm In Peace","42"
"Marina And The Diamonds","Chloe","8","Cuevas","262.97424","621","I Am Not a Robot","49"
"The Serendipity Singers","Avery","108","Watkins","163.21261","324","Don't Let The Rain Come Down (Crooked Little Man)","30"
"Haujobb","Kate","41","Harrell","225.12281","605","Maternal Instinct","97"
"Cyndi Lauper","Harper","3","Barrett","156.96934","404","My Baby Just Cares For Me","42"
"Usher featuring will.i.am","Avery","109","Watkins","395.72853","324","OMG","30"
"Depeche Mode","Chloe","9","Cuevas","397.42649","621","Everything Counts (Live) (Single Version)","49"
"Red Hot Chili Peppers","Harper","4","Barrett","240.32608","404","Especially In Michigan (Album Version)","42"
"3 Doors Down","Kate","42","Harrell","233.74322","605","Kryptonite","97"
"The Newbeats","Harper","5","Barrett","109.24363","404","Bread And Butter","42"
"Kings Of Leon","Kate","43","Harrell","260.38812","605","Dusty","97"
"Los Lobos","Avery","110","Watkins","174.18404","324","La Bamba","30"
"Drake / Kanye West / Lil Wayne / Eminem","Harper","7","Barrett","357.66812","404","Forever","42"
"Ginuwine","Chloe","10","Cuevas","244.27057","621","I'm In Love","49"
"Descendents","Avery","111","Watkins","89.23383","324","I'm Not A Loser","30"
"Jennifer Love Hewitt","Kate","44","Harrell","222.17098","605","BareNaked","97"
"The Cinematic Orchestra","Chloe","11","Cuevas","613.74649","621","Burn Out","49"
"La Fuga","Harper","8","Barrett","217.70404","404","Baja por diversion (directo 05)","42"
"Killswitch Engage","Kate","45","Harrell","259.89179","605","Hope Is... (Album Version)","97"
"Kid Cudi Vs Crookers","Harper","9","Barrett","162.97751","404","Day 'N' Nite","42"
"Beirut","Kate","46","Harrell","213.68118","605","La Llorona","97"
"Fall Out Boy","Harper","10","Barrett","181.36771","404","Dance_ Dance","42"
"Christina Aguilera / Lil' Kim / Mya / Pink","Kate","47","Harrell","264.93342","605","Lady Marmalade","97"
"Harold Budd","Harper","11","Barrett","392.85506","404","Algebra Of Darkness (Album Version)","42"
"Eric Burdon & War","Kate","48","Harrell","281.93914","605","Jimbo (Album Version)","97"
"Cass McCombs","Harper","12","Barrett","234.13506","404","Deseret","42"
"The Black Keys","Kate","49","Harrell","139.51955","605","I'll Be Your Man","97"
"Leona Naess","Harper","13","Barrett","223.03302","404","Christmas","42"
"Alliance Ethnik","Kate","50","Harrell","252.21179","605","ReprÃÂ©sente","97"
"Nando Reis","Harper","14","Barrett","254.6673","404","A Letra ""A","42"
"Kris Allen","Kate","55","Harrell","212.50567","605","Live Like We're Dying","97"
"Muse","Kate","56","Harrell","224.44363","605","Muscle Museum (Soulwax Remix)","97"
"Goldfrapp","Harper","15","Barrett","228.0224","404","Lovely Head","42"
"Slash","Kate","57","Harrell","189.23057","605","Doctor Alibi (featuring Lemmy Kilmister)","97"
"D.R.I.","Harper","16","Barrett","66.61179","404","Stupid_ Stupid War (Dealing With It)","42"
"Beastie Boys","Harper","17","Barrett","211.722","404","Unite (2009 Digital Remaster)","42"
"Cat Power","Kate","58","Harrell","218.3571","605","Hate","97"
"Kings Of Leon","Harper","18","Barrett","201.79546","404","Revelry","42"
"Hot Water Music","Kate","59","Harrell","201.40363","605","Translocation","97"
"Miranda Lambert","Harper","19","Barrett","251.61098","404","Me And Charlie Talking","42"
"Brandy duet with Monica","Kate","60","Harrell","294.79138","605","The Boy Is Mine (Duet With Monica) (LP Version)","97"
"The Heavy","Harper","20","Barrett","197.35465","404","How You Like Me Now?","42"
"Streetlight Manifesto","Kate","61","Harrell","327.91465","605","Point/Counterpoint (Album Version)","97"
"Blitzen Trapper","Harper","21","Barrett","171.15383","404","Murder Babe (Album)","42"
"Megan McCauley","Harper","22","Barrett","228.57098","404","Die For You","42"
"Jack Johnson","Kate","62","Harrell","207.64689","605","Better Together","97"
"Passion Pit","Harper","23","Barrett","243.69587","404","Eyes As Candles","42"
"Strunz & Farah","Aleena","0","Kirby","315.32363","619","Zagros","44"
"Minus The Bear","Kate","63","Harrell","230.45179","605","Part 2","97"
"Van Halen","Harper","24","Barrett","102.5824","404","Eruption (Album Version)","42"
"Pavement","Kate","64","Harrell","149.83791","605","Heaven Is A Truck","97"
"Alliance Ethnik","Harper","25","Barrett","195.94404","404","SinceritÃÂ© Et Jalousie","42"
"Pieces Of A Dream","Aleena","1","Kirby","311.562","619","Keep It Smooth","44"
"Creedence Clearwater Revival","Kate","65","Harrell","315.42812","605","Born On The Bayou","97"
"Anouk","Harper","26","Barrett","268.5122","404","It's So Hard","42"
"Jaco Pastorius Big Band","Aleena","2","Kirby","69.3024","619","Amerika (Album Version)","44"
"Avril Lavigne","Aleena","3","Kirby","222.9024","619","I'm With You","44"
"Gonzalo Rubalcaba","Kate","66","Harrell","525.47873","605","Circuito III","97"
"BjÃÂ¶rk","Harper","27","Barrett","348.57751","404","Undo","42"
"Ska-P","Aleena","4","Kirby","298.13506","619","Casposos","44"
"The Strokes","Harper","28","Barrett","155.34975","404","Is This It","42"
"Jesse Belvin","Aleena","5","Kirby","184.63302","619","Goodnight My Love","44"
"Alliance Ethnik","Harper","29","Barrett","265.76934","404","Creil City","42"
"The Gerbils","Kate","67","Harrell","27.01016","605","(iii)","97"
"KJ-52","Kate","68","Harrell","275.77424","605","Life After Death","97"
"Mariah Carey","Aleena","7","Kirby","242.96444","619","All I Want For Christmas Is You","44"
"Glen Hansard & Marketa Irglova","Harper","30","Barrett","282.67057","404","The Moon (Album version)","42"
"Dion & The Belmonts","Kate","69","Harrell","152.31955","605","A Teenager In Love","97"
"Jack Johnson","Kynnedi","0","Sanchez","236.93016","600","Bubble Toes","89"
"Beastie Boys","Aleena","8","Kirby","172.22485","619","The Maestro","44"
"Lesley Gore","Kate","70","Harrell","134.37342","605","It's My Party","97"
"Dr. Dre / Snoop Dogg","Harper","31","Barrett","161.51465","404","The Next Episode","42"
"Pearl Jam","Aleena","9","Kirby","67.44771","619","Encore Break","44"
"Cake","Kynnedi","1","Sanchez","179.09506","600","Commissioning A Symphony In C","89"
"Phoenix","Kate","71","Harrell","278.07302","605","Rome","97"
"Alesana","Aleena","10","Kirby","285.51791","619","Seduction (album)","44"
"The Kooks","Harper","32","Barrett","168.72444","404","She Moves In Her Own Way","42"
"Dakis","Harper","33","Barrett","162.48118","404","La Petite Marie (2005 Digital Remaster)","42"
"Limp Bizkit","Kate","72","Harrell","214.5171","605","Rollin' (Air Raid Vehicle)","97"
"JET","Aleena","11","Kirby","261.3024","619","Move On (Album Version)","44"
"Mickie Krause","Harper","34","Barrett","204.17261","404","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","42"
"Hot Chip","Kate","73","Harrell","314.69669","605","My Piano (DJ-Kicks)","97"
"Yung Berg","Aleena","12","Kirby","230.63465","619","Do That There (featuring Dude 'N Nem)","44"
"Kings Of Leon","Harper","35","Barrett","237.53098","404","Closer","42"
"Johan","Aleena","13","Kirby","190.27546","619","Life On Mars","44"
"Crystal Castles","Kate","74","Harrell","138.91873","605","Love And Caring","97"
"Thirteen Senses","Harper","36","Barrett","286.45832","404","Lead Us","42"
"Eisbrecher","Kate","76","Harrell","241.89342","605","Adrenalin","97"
"Buckcherry","Aleena","14","Kirby","201.79546","619","Crazy Bitch (Album Version)","44"
"Band Of Horses","Harper","37","Barrett","187.0624","404","The General Specific (Album)","42"
"Darkseed","Kate","77","Harrell","250.33098","605","Speak Silence","97"
"Caetano Veloso","Aleena","15","Kirby","223.97342","619","O Samba E O Tango","44"
